Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
5.0015000000e+02 5.0000000000e+01 3.4040056610e+02 2.8085746648e-01 8.4493213521e+04 2.6452504518e+01 7.1474927923e+09 4.4789206608e+06 2.8847711109e+07 3.2645586581e+04 -2.6766596099e+02 1.0511854535e-01 -9.0776711951e+04 4.5258399852e+01 1.6142401966e+02 5.0537426988e-02 2.0516739593e-03 9.8466626833e-04 1.4379344963e-02 1.0848843246e-02 4.6515629773e+01 5.3934903612e+01 4.4069144727e+00 3.9384311368e+01 1.3690145459e+01 4.8174484255e-02 9.0371029098e-01 7.6810341365e+02 3.9764193745e+02
5.1015000000e+02 5.0000000000e+01 3.5949391934e+02 2.8946456204e-01 8.6224715789e+04 2.7428640309e+01 7.4435076921e+09 4.7346345986e+06 3.1086513986e+07 3.4671331371e+04 -2.6103359162e+02 1.0723542316e-01 -9.3504933657e+04 4.3885582223e+01 1.5818241945e+02 5.0318851696e-02 2.0014862123e-03 9.8333551380e-04 1.4500056822e-02 1.1023181303e-02 4.7119538098e+01 5.4248553523e+01 4.5118571100e+00 3.9954804790e+01 1.3540860430e+01 3.9368208580e-02 9.3470294400e-01 7.6938836730e+02 3.9710333978e+02
5.2015000000e+02 5.0000000000e+01 3.7814487456e+02 2.9018316891e-01 8.7939019694e+04 2.7702394599e+01 7.7424159336e+09 4.8746400150e+06 3.3345189109e+07 3.5801628790e+04 -2.5471984999e+02 1.0691757006e-01 -9.5990390939e+04 4.1632364851e+01 1.5509877421e+02 4.8858941800e-02 1.9352522951e-03 9.5605627785e-04 1.4480326077e-02 1.0916555998e-02 4.7723272124e+01 5.4442432863e+01 4.4953895621e+00 4.0527278029e+01 1.3054991400e+01 1.2579988117e-02 9.4379735914e-01 7.7339558873e+02 3.9075083341e+02
5.3015000000e+02 5.0000000000e+01 3.9632166858e+02 2.8892251979e-01 8.9631176929e+04 2.7861192403e+01 8.0432759168e+09 4.9980575795e+06 3.5616933423e+07 3.6736334084e+04 -2.4872088813e+02 1.0553024159e-01 -9.8246134661e+04 3.9547431925e+01 1.5217064673e+02 4.7301126817e-02 1.8808236675e-03 9.2467144914e-04 1.4523204370e-02 1.0773273117e-02 4.8326368377e+01 5.4715553692e+01 4.4531766913e+00 4.1101967104e+01 1.2537762926e+01 -5.5516577068e-03 9.4496464318e-01 7.7611741402e+02 3.8152496910e+02
5.4015000000e+02 5.0000000000e+01 4.1421362892e+02 2.9014231446e-01 9.1318444891e+04 2.8336179097e+01 8.3491040465e+09 5.1808232271e+06 3.7923455080e+07 3.8036332298e+04 -2.4297157365e+02 1.0409865236e-01 -1.0031459428e+05 3.8207108599e+01 1.4935902792e+02 4.6346213736e-02 1.8530465537e-03 9.0328854342e-04 1.4751044197e-02 1.0756078232e-02 4.8928412804e+01 5.5182180221e+01 4.4532330113e+00 4.1676894919e+01 1.2183980877e+01 1.7967493131e-03 9.4954909203e-01 7.7521939346e+02 3.7190061118e+02
5.5015000000e+02 5.0000000000e+01 4.3201678139e+02 2.9282836513e-01 9.3019159187e+04 2.8967094078e+01 8.6632033129e+09 5.3944272652e+06 4.0288634170e+07 3.9549430711e+04 -2.3740783537e+02 1.0271211228e-01 -1.0223454916e+05 3.7281484334e+01 1.4662822454e+02 4.5661491804e-02 1.8373877612e-03 8.8715620065e-04 1.5058364951e-02 1.0795383360e-02 4.9529035705e+01 5.5744395071e+01 4.4750669392e+00 4.2249847567e+01 1.1924648269e+01 2.1273378259e-02 9.5627362201e-01 7.7301929289e+02 3.6273415251e+02
5.6015000000e+02 5.0000000000e+01 4.4974323756e+02 2.9455219568e-01 9.4732953802e+04 2.9461701935e+01 8.9855111096e+09 5.5864234310e+06 4.2712462499e+07 4.0933396010e+04 -2.3201492761e+02 1.0137134273e-01 -1.0401664643e+05 3.6384997157e+01 1.4397560313e+02 4.4776037642e-02 1.8107462252e-03 8.6831325873e-04 1.5258004961e-02 1.0782586213e-02 5.0127907074e+01 5.6233065553e+01 4.4795589582e+00 4.2820748097e+01 1.1645091253e+01 2.8314394126e-02 9.6157264959e-01 7.7317076745e+02 3.5537766192e+02
5.7015000000e+02 5.0000000000e+01 4.6724926296e+02 2.9563623746e-01 9.6443287619e+04 2.9874584590e+01 9.3129060643e+09 5.7676279394e+06 4.5173030131e+07 4.2240011791e+04 -2.2681754454e+02 1.0047831698e-01 -1.0565151869e+05 3.5758259791e+01 1.4142232702e+02 4.3807437258e-02 1.7652308681e-03 8.4828115151e-04 1.5277468059e-02 1.0742529457e-02 5.0724732332e+01 5.6581924254e+01 4.4736896975e+00 4.3390437163e+01 1.1362017172e+01 1.2923827107e-02 9.6863066748e-01 7.7688576153e+02 3.5219344819e+02
5.8015000000e+02 5.0000000000e+01 4.8440156222e+02 3.0075878618e-01 9.8134611460e+04 3.0710865063e+01 9.6423537200e+09 6.0395482469e+06 4.7648929269e+07 4.4193252224e+04 -2.2183707982e+02 1.0147760581e-01 -1.0713230025e+05 3.6084240290e+01 1.3898495095e+02 4.3494828287e-02 1.7120078505e-03 8.4092455499e-04 1.5204981743e-02 1.0858717429e-02 5.1319248454e+01 5.6867458716e+01 4.5314670509e+00 4.3959157707e+01 1.1258563391e+01 -1.3758854878e-02 9.9130115155e-01 7.8240278690e+02 3.5675829029e+02
5.9015000000e+02 5.0000000000e+01 5.0120509191e+02 3.2305869177e-01 9.9806002894e+04 3.3337641085e+01 9.9735948952e+09 6.6891907023e+06 5.0138514530e+07 4.8920152851e+04 -2.1706193846e+02 1.0797463739e-01 -1.0846842607e+05 3.8618603058e+01 1.3665745311e+02 4.5646924945e-02 1.6682860507e-03 8.8217567731e-04 1.5194959928e-02 1.1606389990e-02 5.1911220474e+01 5.7215958843e+01 4.8546080620e+00 4.4526545860e+01 1.1808114516e+01 -3.1721789734e-02 1.0707945203e+00 7.8665199129e+02 3.8056588726e+02
6.0015000000e+02 5.0000000000e+01 5.1777675371e+02 3.9307548153e-01 1.0146962797e+05 4.1074182598e+01 1.0308969543e+10 8.4332558987e+06 5.2657713795e+07 6.1628518903e+04 -2.1246277338e+02 1.2729285298e-01 -1.0968514174e+05 4.6163168078e+01 1.3441691305e+02 5.4411008906e-02 1.6398750756e-03 1.0525172627e-03 1.5324151322e-02 1.4107499970e-02 5.2500438338e+01 5.7661201735e+01 5.9108767502e+00 4.5091587293e+01 1.4066292938e+01 -3.2763184510e-02 1.3107312335e+00 7.8791416524e+02 4.5676514397e+02
3.0015000000e+02 6.0000000000e+01 -1.2746453178e+02 2.7707465154e-01 4.6938227646e+04 1.3040324863e+01 2.2043361599e+09 1.2255937672e+06 -5.9608480575e+06 1.1587128394e+04 -5.3282108836e+02 1.8339590617e-01 6.8219818608e+04 1.7097319953e+02 2.9057838023e+02 8.0728154140e-02 2.6312705458e-03 2.0821747980e-03 5.8553737732e-03 8.9067398835e-03 3.5782949699e+01 5.0062290672e+01 9.2701630707e+00 3.0468322435e+01 4.3761486459e+01 -2.3183529016e-01 6.9921542614e-01 9.8270264831e+02 1.3509661505e+03
3.1015000000e+02 6.0000000000e+01 -9.9792809488e+01 2.5284197358e-01 4.8196211985e+04 1.2461816044e+01 2.3241724773e+09 1.2013953396e+06 -4.7851696008e+06 1.1024997398e+04 -5.1601326582e+02 1.5695897264e-01 5.1812099465e+04 1.4662572566e+02 2.8299390343e+02 7.3172098408e-02 2.6555865290e-03 1.7887532362e-03 6.2875604648e-03 8.2330892435e-03 3.6172544410e+01 5.0471592202e+01 7.5947845802e+00 3.0751705730e+01 3.7179710165e+01 -1.9809394283e-01 6.3146167168e-01 9.6041574357e+02 1.1274153710e+03
