Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
473.2	60	192.79	0.0051869	15.018	20.011	67.949	38.172	53.265	828.55	-0.076136	27.37	0.098737	0.00201031231306	0.01054326371638
474.85	60	192.16	0.0052041	15.09	20.099	68.134	38.261	53.314	828.31	-0.076307	27.346	0.098868	0.00200328660175	0.01056905485222
476.5	60	191.52	0.0052213	15.161	20.187	68.319	38.349	53.363	828.08	-0.076494	27.323	0.099002	0.0019964373296	0.01059564671022
478.15	60	190.9	0.0052385	15.233	20.275	68.504	38.438	53.413	827.87	-0.076695	27.3	0.099138	0.00198948360213	0.0106207691746
479.8	60	190.27	0.0052557	15.304	20.363	68.688	38.527	53.463	827.66	-0.07691	27.278	0.099277	0.00198263699058	0.01064667214293
481.45	60	189.65	0.0052729	15.376	20.451	68.871	38.617	53.513	827.47	-0.077138	27.257	0.099417	0.00197565309255	0.01067144928583
483.1	60	189.03	0.00529	15.448	20.54	69.055	38.706	53.564	827.28	-0.07738	27.236	0.09956	0.00196891878252	0.01069692435218
484.75	60	188.42	0.0053072	15.52	20.628	69.237	38.795	53.615	827.11	-0.077635	27.215	0.099705	0.00196211965867	0.01072153608115
486.4	60	187.81	0.0053244	15.592	20.717	69.419	38.885	53.667	826.94	-0.077902	27.196	0.099852	0.0019553668473	0.01074628868953
488.05	60	187.21	0.0053416	15.664	20.805	69.601	38.975	53.719	826.79	-0.078182	27.177	0.1	0.00194856770036	0.0107701641364
489.7	60	186.61	0.0053588	15.736	20.894	69.783	39.065	53.771	826.65	-0.078474	27.158	0.10015	0.00194179772401	0.0107939905028
491.35	60	186.01	0.0053759	15.808	20.983	69.964	39.154	53.824	826.51	-0.078778	27.14	0.10031	0.00193527265943	0.01081850662942
493	60	185.42	0.0053931	15.88	21.072	70.144	39.244	53.877	826.39	-0.079093	27.123	0.10046	0.00192859144082	0.01084185151141
